,MAE,MALE,MAPE,MAPLE,CI,PCI,I5,PI5,I10,PI10
REF_MEAN_train,158.7923,6.0015,0.4365,0.297,0.7904,0.5,0.8167,0.05,0.815,0.1
REF_MEAN_val,155.9816,6.0011,0.4191,0.2959,0.7929,0.5,0.8167,0.05,0.8167,0.1
REF_MEAN_test,159.8204,5.9926,0.3929,0.2815,0.8043,0.5,0.8659,0.05,0.835,0.1
REF_GS_test,26.4971,3.7161,0.0743,0.0511,0.9674,0.9381,0.9736,0.8772,0.9711,0.8725
REF_GS_train,24.7647,3.6632,0.0787,0.0525,0.966,0.941,0.972,0.8827,0.9724,0.8803
REF_GS_val,24.4247,3.6696,0.0756,0.0524,0.9664,0.9409,0.9736,0.8925,0.9752,0.8773
