,MAE,MALE,MAPE,MAPLE,PCI,PI10,MAE10,MAPE10
REF_MEAN_train,164.1876,6.0731,0.4149,0.2892,0.5,0.0,717.6084,0.4019
REF_MEAN_val,159.8769,6.0669,0.4043,0.2891,0.5,0.0,701.2246,0.403
REF_MEAN_test,152.6862,6.0278,0.3928,0.2784,0.5,0.0,662.0583,0.3943
REF_GS_test,25.2309,3.7635,0.0757,0.0526,0.937,0.8783,90.0171,0.0554
REF_GS_train,26.1002,3.757,0.0761,0.0519,0.9396,0.8757,95.8642,0.056
REF_GS_val,25.5337,3.7423,0.0748,0.0518,0.9396,0.8723,92.1431,0.055
